タイトル,統計品別推移表
輸出入,輸出
推移表の種類,月別推移表
統計年,'2025年-2026年
全国分・税関別,全国分
世界・国別,世界
品目,品目コード指定,'8708
単位:(1000円)


品目,暦年月,第１単位,第２単位,当月第１数量,当月第２数量,当月金額,累計第１数量,累計第２数量,累計金額
8708.30-000,'2026/02,,KG,,8809757,22217413,,16359788,39866244
8708.30-000,'2026/03,,KG,,9895999,25668351,,26255787,65534595
8708.30-000,'2026/04,,KG,,9889172,24703879,,36144959,90238474
8708.30-000,'2026/05,,KG,,8511719,21523709,,44656678,111762183
8708.30-000,'2026/06,,KG,,10262880,24569744,,54919558,136331927
8708.30-000,'2026/07,,KG,,10567944,26544590,,65487502,162876517
8708.40-000,'2025/01,,KG,,51923254,111743347,,51923254,111743347
8708.40-000,'2025/02,,KG,,72637736,157068718,,124560990,268812065
8708.40-000,'2025/03,,KG,,71626003,149863510,,196186993,418675575
8708.40-000,'2025/04,,KG,,74299482,155542334,,270486475,574217909
8708.40-000,'2025/05,,KG,,64165196,130283267,,334651671,704501176
8708.40-000,'2025/06,,KG,,71815333,148044773,,406467004,852545949
8708.40-000,'2025/07,,KG,,76748531,157042246,,483215535,1009588195
8708.40-000,'2025/08,,KG,,61422849,127004750,,544638384,1136592945
8708.40-000,'2025/09,,KG,,67398160,138941645,,612036544,1275534590
8708.40-000,'2025/10,,KG,,69647938,144963024,,681684482,1420497614
8708.40-000,'2025/11,,KG,,62595982,132898876,,744280464,1553396490
8708.40-000,'2025/12,,KG,,66343580,144598501,,810624044,1697994991
8708.40-000,'2026/01,,KG,,56129752,119851682,,56129752,119851682
8708.40-000,'2026/02,,KG,,61860717,133551226,,117990469,253402908
8708.40-000,'2026/03,,KG,,69090984,149685972,,187081453,403088880
8708.40-000,'2026/04,,KG,,70842359,153628842,,257923812,556717722
8708.40-000,'2026/05,,KG,,58636232,125933514,,316560044,682651236
8708.40-000,'2026/06,,KG,,63617586,135469931,,380177630,818121167
8708.40-000,'2026/07,,KG,,66102594,143216729,,446280224,961337896
8708.50-000,'2025/01,,KG,,16370563,24238601,,16370563,24238601
8708.50-000,'2025/02,,KG,,20081455,31137971,,36452018,55376572
8708.50-000,'2025/03,,KG,,20520660,28435152,,56972678,83811724
8708.50-000,'2025/04,,KG,,20647053,28455146,,77619731,112266870
8708.50-000,'2025/05,,KG,,18019805,22500720,,95639536,134767590
8708.50-000,'2025/06,,KG,,21005303,27568839,,116644839,162336429
8708.50-000,'2025/07,,KG,,20701778,28011090,,137346617,190347519
8708.50-000,'2025/08,,KG,,17301455,23615226,,154648072,213962745
8708.50-000,'2025/09,,KG,,19203893,26186927,,173851965,240149672
8708.50-000,'2025/10,,KG,,19882526,27060494,,193734491,267210166
8708.50-000,'2025/11,,KG,,19304450,25117697,,213038941,292327863
8708.50-000,'2025/12,,KG,,20828831,27691296,,233867772,320019159
8708.50-000,'2026/01,,KG,,15539090,19819579,,15539090,19819579
8708.50-000,'2026/02,,KG,,18923580,25931737,,34462670,45751316
8708.50-000,'2026/03,,KG,,20606862,30065586,,55069532,75816902
8708.50-000,'2026/04,,KG,,20925550,30886673,,75995082,106703575
8708.50-000,'2026/05,,KG,,17309748,24942772,,93304830,131646347
8708.50-000,'2026/06,,KG,,20600522,28798272,,113905352,160444619
8708.50-000,'2026/07,,KG,,21989947,30709049,,135895299,191153668
8708.70-000,'2025/01,,KG,,3762471,2463842,,3762471,2463842
8708.70-000,'2025/02,,KG,,4319142,3027757,,8081613,5491599
8708.70-000,'2025/03,,KG,,5568889,3378439,,13650502,8870038
8708.70-000,'2025/04,,KG,,5279500,3327948,,18930002,12197986
8708.70-000,'2025/05,,KG,,5067827,2914091,,23997829,15112077
8708.70-000,'2025/06,,KG,,5614652,3279369,,29612481,18391446
8708.70-000,'2025/07,,KG,,5666800,3652577,,35279281,22044023
8708.70-000,'2025/08,,KG,,4404704,2689653,,39683985,24733676
8708.70-000,'2025/09,,KG,,4835347,3344277,,44519332,28077953
8708.70-000,'2025/10,,KG,,5873599,3690257,,50392931,31768210
8708.70-000,'2025/11,,KG,,5229623,3420509,,55622554,35188719
8708.70-000,'2025/12,,KG,,5987192,3743258,,61609746,38931977
8708.70-000,'2026/01,,KG,,3983487,2723201,,3983487,2723201
