品目,品目名,輸出入,年月,暦年月,第１単位,第２単位,当月第１数量,当月第２数量,当月金額,累計第１数量,累計第２数量,累計金額
8708.10-000,バンパー及びその部分品,輸出,202201,'2022/01,,KG,,1316023,3245807,,1316023,3245807
8708.10-000,バンパー及びその部分品,輸出,202202,'2022/02,,KG,,1618972,3758048,,2934995,7003855
8708.10-000,バンパー及びその部分品,輸出,202203,'2022/03,,KG,,1667812,4147512,,4602807,11151367
8708.10-000,バンパー及びその部分品,輸出,202204,'2022/04,,KG,,1734390,4491396,,6337197,15642763
8708.10-000,バンパー及びその部分品,輸出,202205,'2022/05,,KG,,1281313,3387554,,7618510,19030317
8708.10-000,バンパー及びその部分品,輸出,202206,'2022/06,,KG,,1599534,4268521,,9218044,23298838
8708.10-000,バンパー及びその部分品,輸出,202207,'2022/07,,KG,,1494580,3909427,,10712624,27208265
8708.10-000,バンパー及びその部分品,輸出,202208,'2022/08,,KG,,1343867,3640420,,12056491,30848685
8708.10-000,バンパー及びその部分品,輸出,202209,'2022/09,,KG,,1457490,3971497,,13513981,34820182
8708.10-000,バンパー及びその部分品,輸出,202210,'2022/10,,KG,,1612226,4506837,,15126207,39327019
8708.10-000,バンパー及びその部分品,輸出,202211,'2022/11,,KG,,1485026,4120074,,16611233,43447093
8708.10-000,バンパー及びその部分品,輸出,202212,'2022/12,,KG,,1670496,4549274,,18281729,47996367
8708.10-000,バンパー及びその部分品,輸出,202301,'2023/01,,KG,,1070342,2937036,,1070342,2937036
8708.10-000,バンパー及びその部分品,輸出,202302,'2023/02,,KG,,1208339,3335911,,2278681,6272947
8708.10-000,バンパー及びその部分品,輸出,202303,'2023/03,,KG,,1483992,4309800,,3762673,10582747
8708.10-000,バンパー及びその部分品,輸出,202304,'2023/04,,KG,,1427992,4053503,,5190665,14636250
8708.10-000,バンパー及びその部分品,輸出,202305,'2023/05,,KG,,1138233,3150334,,6328898,17786584
8708.10-000,バンパー及びその部分品,輸出,202306,'2023/06,,KG,,1262995,3582587,,7591893,21369171
8708.10-000,バンパー及びその部分品,輸出,202307,'2023/07,,KG,,1295271,3816956,,8887164,25186127
8708.10-000,バンパー及びその部分品,輸出,202308,'2023/08,,KG,,1053185,3259529,,9940349,28445656
8708.10-000,バンパー及びその部分品,輸出,202309,'2023/09,,KG,,1337238,3976369,,11277587,32422025
8708.10-000,バンパー及びその部分品,輸出,202310,'2023/10,,KG,,1394266,4233501,,12671853,36655526
8708.10-000,バンパー及びその部分品,輸出,202311,'2023/11,,KG,,1299259,3918711,,13971112,40574237
8708.10-000,バンパー及びその部分品,輸出,202312,'2023/12,,KG,,1511425,4544575,,15482537,45118812
8708.10-000,バンパー及びその部分品,輸出,202401,'2024/01,,KG,,1102937,3215522,,1102937,3215522
8708.10-000,バンパー及びその部分品,輸出,202402,'2024/02,,KG,,1251191,3935251,,2354128,7150773
8708.10-000,バンパー及びその部分品,輸出,202403,'2024/03,,KG,,1438094,4579512,,3792222,11730285
8708.10-000,バンパー及びその部分品,輸出,202404,'2024/04,,KG,,1448685,4343526,,5240907,16073811
8708.10-000,バンパー及びその部分品,輸出,202405,'2024/05,,KG,,1211664,3704453,,6452571,19778264
8708.10-000,バンパー及びその部分品,輸出,202406,'2024/06,,KG,,1456944,4417654,,7909515,24195918
8708.10-000,バンパー及びその部分品,輸出,202407,'2024/07,,KG,,1547748,4807398,,9457263,29003316
8708.10-000,バンパー及びその部分品,輸出,202408,'2024/08,,KG,,1285967,3918470,,10743230,32921786
8708.10-000,バンパー及びその部分品,輸出,202409,'2024/09,,KG,,1269864,3816402,,12013094,36738188
8708.10-000,バンパー及びその部分品,輸出,202410,'2024/10,,KG,,1484091,4470656,,13497185,41208844
8708.10-000,バンパー及びその部分品,輸出,202411,'2024/11,,KG,,1388549,4163896,,14885734,45372740
8708.10-000,バンパー及びその部分品,輸出,202412,'2024/12,,KG,,1605982,5005698,,16491716,50378438
8708.10-000,バンパー及びその部分品,輸出,202501,'2025/01,,KG,,1058130,3153359,,1058130,3153359
8708.10-000,バンパー及びその部分品,輸出,202502,'2025/02,,KG,,1250758,3945553,,2308888,7098912
8708.10-000,バンパー及びその部分品,輸出,202503,'2025/03,,KG,,1368427,4154789,,3677315,11253701
8708.10-000,バンパー及びその部分品,輸出,202504,'2025/04,,KG,,1402531,4154248,,5079846,15407949
8708.10-000,バンパー及びその部分品,輸出,202505,'2025/05,,KG,,1136198,3256743,,6216044,18664692
8708.10-000,バンパー及びその部分品,輸出,202506,'2025/06,,KG,,1253104,3700340,,7469148,22365032
8708.10-000,バンパー及びその部分品,輸出,202507,'2025/07,,KG,,1322502,3907908,,8791650,26272940
8708.10-000,バンパー及びその部分品,輸出,202508,'2025/08,,KG,,1001056,3015057,,9792706,29287997
8708.10-000,バンパー及びその部分品,輸出,202509,'2025/09,,KG,,1263148,3826475,,11055854,33114472
8708.10-000,バンパー及びその部分品,輸出,202510,'2025/10,,KG,,1228260,3697465,,12284114,36811937
8708.10-000,バンパー及びその部分品,輸出,202511,'2025/11,,KG,,1200882,3912399,,13484996,40724336
8708.10-000,バンパー及びその部分品,輸出,202512,'2025/12,,KG,,1365901,4397701,,14850897,45122037
8708.10-000,バンパー及びその部分品,輸出,202601,'2026/01,,KG,,928171,3104588,,928171,3104588
8708.10-000,バンパー及びその部分品,輸出,202602,'2026/02,,KG,,1099439,3648191,,2027610,6752779
8708.10-000,バンパー及びその部分品,輸出,202603,'2026/03,,KG,,1285125,4180610,,3312735,10933389
8708.10-000,バンパー及びその部分品,輸出,202604,'2026/04,,KG,,1315752,4325377,,4628487,15258766
8708.10-000,バンパー及びその部分品,輸出,202605,'2026/05,,KG,,990628,3189424,,5619115,18448190
8708.10-000,バンパー及びその部分品,輸出,202606,'2026/06,,KG,,1242079,4050997,,6861194,22499187
8708.10-000,バンパー及びその部分品,輸出,202607,'2026/07,,KG,,1292139,4394864,,8153333,26894051
8708.21-000,シートベルト,輸出,202201,'2022/01,,KG,,109187,182264,,109187,182264
8708.21-000,シートベルト,輸出,202202,'2022/02,,KG,,147747,260982,,256934,443246
8708.21-000,シートベルト,輸出,202203,'2022/03,,KG,,149212,291457,,406146,734703
8708.21-000,シートベルト,輸出,202204,'2022/04,,KG,,126497,291002,,532643,1025705
8708.21-000,シートベルト,輸出,202205,'2022/05,,KG,,133459,276344,,666102,1302049
8708.21-000,シートベルト,輸出,202206,'2022/06,,KG,,86128,208144,,752230,1510193
8708.21-000,シートベルト,輸出,202207,'2022/07,,KG,,119554,239311,,871784,1749504
8708.21-000,シートベルト,輸出,202208,'2022/08,,KG,,99095,212361,,970879,1961865
8708.21-000,シートベルト,輸出,202209,'2022/09,,KG,,118261,231004,,1089140,2192869
8708.21-000,シートベルト,輸出,202210,'2022/10,,KG,,126372,281829,,1215512,2474698
8708.21-000,シートベルト,輸出,202211,'2022/11,,KG,,116285,244147,,1331797,2718845
8708.21-000,シートベルト,輸出,202212,'2022/12,,KG,,142164,297352,,1473961,3016197
8708.21-000,シートベルト,輸出,202301,'2023/01,,KG,,101417,201696,,101417,201696
8708.21-000,シートベルト,輸出,202302,'2023/02,,KG,,112683,217912,,214100,419608
8708.21-000,シートベルト,輸出,202303,'2023/03,,KG,,198357,251746,,412457,671354
8708.21-000,シートベルト,輸出,202304,'2023/04,,KG,,280760,261475,,693217,932829
8708.21-000,シートベルト,輸出,202305,'2023/05,,KG,,183639,231876,,876856,1164705
8708.21-000,シートベルト,輸出,202306,'2023/06,,KG,,142217,198773,,1019073,1363478
8708.21-000,シートベルト,輸出,202307,'2023/07,,KG,,132836,249753,,1151909,1613231
8708.21-000,シートベルト,輸出,202308,'2023/08,,KG,,152834,204155,,1304743,1817386
8708.21-000,シートベルト,輸出,202309,'2023/09,,KG,,118157,216127,,1422900,2033513
8708.21-000,シートベルト,輸出,202310,'2023/10,,KG,,179178,273091,,1602078,2306604
8708.21-000,シートベルト,輸出,202311,'2023/11,,KG,,118907,234158,,1720985,2540762
8708.21-000,シートベルト,輸出,202312,'2023/12,,KG,,92152,208565,,1813137,2749327
8708.21-000,シートベルト,輸出,202401,'2024/01,,KG,,68810,158663,,68810,158663
8708.21-000,シートベルト,輸出,202402,'2024/02,,KG,,86607,186073,,155417,344736
8708.21-000,シートベルト,輸出,202403,'2024/03,,KG,,103301,242592,,258718,587328
8708.21-000,シートベルト,輸出,202404,'2024/04,,KG,,103130,237659,,361848,824987
8708.21-000,シートベルト,輸出,202405,'2024/05,,KG,,74149,178660,,435997,1003647
8708.21-000,シートベルト,輸出,202406,'2024/06,,KG,,123076,275087,,559073,1278734
8708.21-000,シートベルト,輸出,202407,'2024/07,,KG,,110619,287975,,669692,1566709
8708.21-000,シートベルト,輸出,202408,'2024/08,,KG,,86314,233602,,756006,1800311
8708.21-000,シートベルト,輸出,202409,'2024/09,,KG,,94513,275204,,850519,2075515
8708.21-000,シートベルト,輸出,202410,'2024/10,,KG,,104146,296727,,954665,2372242
8708.21-000,シートベルト,輸出,202411,'2024/11,,KG,,90496,251026,,1045161,2623268
8708.21-000,シートベルト,輸出,202412,'2024/12,,KG,,112744,313385,,1157905,2936653
8708.21-000,シートベルト,輸出,202501,'2025/01,,KG,,88624,231603,,88624,231603
8708.21-000,シートベルト,輸出,202502,'2025/02,,KG,,99061,268927,,187685,500530
8708.21-000,シートベルト,輸出,202503,'2025/03,,KG,,95504,243838,,283189,744368
8708.21-000,シートベルト,輸出,202504,'2025/04,,KG,,97302,248208,,380491,992576
8708.21-000,シートベルト,輸出,202505,'2025/05,,KG,,79536,207824,,460027,1200400
8708.21-000,シートベルト,輸出,202506,'2025/06,,KG,,107730,264843,,567757,1465243
8708.21-000,シートベルト,輸出,202507,'2025/07,,KG,,108593,276537,,676350,1741780
8708.21-000,シートベルト,輸出,202508,'2025/08,,KG,,98381,225466,,774731,1967246
8708.21-000,シートベルト,輸出,202509,'2025/09,,KG,,102234,249590,,876965,2216836
8708.21-000,シートベルト,輸出,202510,'2025/10,,KG,,108639,278882,,985604,2495718
8708.21-000,シートベルト,輸出,202511,'2025/11,,KG,,105273,292656,,1090877,2788374
8708.21-000,シートベルト,輸出,202512,'2025/12,,KG,,127193,328873,,1218070,3117247
8708.21-000,シートベルト,輸出,202601,'2026/01,,KG,,79955,178307,,79955,178307
8708.21-000,シートベルト,輸出,202602,'2026/02,,KG,,98264,241583,,178219,419890
8708.21-000,シートベルト,輸出,202603,'2026/03,,KG,,120689,294006,,298908,713896
8708.21-000,シートベルト,輸出,202604,'2026/04,,KG,,127070,326702,,425978,1040598
8708.21-000,シートベルト,輸出,202605,'2026/05,,KG,,91044,232379,,517022,1272977
8708.21-000,シートベルト,輸出,202606,'2026/06,,KG,,127452,332343,,644474,1605320
8708.21-000,シートベルト,輸出,202607,'2026/07,,KG,,124658,304393,,769132,1909713
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202201,'2022/01,,KG,,268731,383397,,268731,383397
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202202,'2022/02,,KG,,476144,782976,,744875,1166373
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202203,'2022/03,,KG,,589432,931763,,1334307,2098136
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202204,'2022/04,,KG,,515180,930723,,1849487,3028859
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202205,'2022/05,,KG,,322832,656579,,2172319,3685438
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202206,'2022/06,,KG,,455030,923233,,2627349,4608671
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202207,'2022/07,,KG,,447303,855901,,3074652,5464572
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202208,'2022/08,,KG,,401841,726002,,3476493,6190574
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202209,'2022/09,,KG,,366701,790405,,3843194,6980979
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202210,'2022/10,,KG,,514786,992484,,4357980,7973463
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202211,'2022/11,,KG,,428414,855290,,4786394,8828753
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202212,'2022/12,,KG,,439532,811886,,5225926,9640639
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202301,'2023/01,,KG,,295037,550985,,295037,550985
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202302,'2023/02,,KG,,363160,660306,,658197,1211291
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202303,'2023/03,,KG,,403152,802944,,1061349,2014235
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202304,'2023/04,,KG,,414314,940303,,1475663,2954538
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202305,'2023/05,,KG,,280219,571821,,1755882,3526359
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202306,'2023/06,,KG,,401172,826973,,2157054,4353332
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202307,'2023/07,,KG,,508518,939457,,2665572,5292789
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202308,'2023/08,,KG,,353065,621803,,3018637,5914592
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202309,'2023/09,,KG,,370562,892616,,3389199,6807208
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202310,'2023/10,,KG,,465885,957398,,3855084,7764606
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202311,'2023/11,,KG,,423710,889746,,4278794,8654352
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202312,'2023/12,,KG,,487012,1063209,,4765806,9717561
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202401,'2024/01,,KG,,377143,698210,,377143,698210
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202402,'2024/02,,KG,,466833,1050382,,843976,1748592
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202403,'2024/03,,KG,,520281,1106107,,1364257,2854699
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202404,'2024/04,,KG,,505302,1233908,,1869559,4088607
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202405,'2024/05,,KG,,447833,904494,,2317392,4993101
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202406,'2024/06,,KG,,517354,1207990,,2834746,6201091
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202407,'2024/07,,KG,,563688,1297549,,3398434,7498640
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202408,'2024/08,,KG,,429724,996574,,3828158,8495214
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202409,'2024/09,,KG,,423973,940532,,4252131,9435746
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202410,'2024/10,,KG,,516643,1157149,,4768774,10592895
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202411,'2024/11,,KG,,432882,1052839,,5201656,11645734
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202412,'2024/12,,KG,,492141,1114162,,5693797,12759896
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202501,'2025/01,,KG,,319112,719565,,319112,719565
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202502,'2025/02,,KG,,439551,1043863,,758663,1763428
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202503,'2025/03,,KG,,408859,857432,,1167522,2620860
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202504,'2025/04,,KG,,432411,924618,,1599933,3545478
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202505,'2025/05,,KG,,402315,808958,,2002248,4354436
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202506,'2025/06,,KG,,491670,1065914,,2493918,5420350
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202507,'2025/07,,KG,,560785,1240339,,3054703,6660689
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202508,'2025/08,,KG,,429462,979583,,3484165,7640272
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202509,'2025/09,,KG,,477181,1051846,,3961346,8692118
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202510,'2025/10,,KG,,490088,1133782,,4451434,9825900
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202511,'2025/11,,KG,,433278,1042276,,4884712,10868176
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202512,'2025/12,,KG,,538874,1209092,,5423586,12077268
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202601,'2026/01,,KG,,350792,908884,,350792,908884
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202602,'2026/02,,KG,,568271,1176207,,919063,2085091
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202603,'2026/03,,KG,,574457,1278894,,1493520,3363985
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202604,'2026/04,,KG,,549500,1288032,,2043020,4652017
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202605,'2026/05,,KG,,425797,978363,,2468817,5630380
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202606,'2026/06,,KG,,488337,1188769,,2957154,6819149
8708.22-000,フロントガラス等の安全ガラス部品,輸出,202607,'2026/07,,KG,,593393,1504581,,3550547,8323730
8708.29-000,その他の車体部分品・附属品,輸出,202201,'2022/01,,KG,,19245743,22957732,,19245743,22957732
8708.29-000,その他の車体部分品・附属品,輸出,202202,'2022/02,,KG,,22799863,26282931,,42045606,49240663
8708.29-000,その他の車体部分品・附属品,輸出,202203,'2022/03,,KG,,22688759,30217371,,64734365,79458034
8708.29-000,その他の車体部分品・附属品,輸出,202204,'2022/04,,KG,,21746364,28865213,,86480729,108323247
8708.29-000,その他の車体部分品・附属品,輸出,202205,'2022/05,,KG,,15899343,22185432,,102380072,130508679
8708.29-000,その他の車体部分品・附属品,輸出,202206,'2022/06,,KG,,18463835,26569038,,120843907,157077717
8708.29-000,その他の車体部分品・附属品,輸出,202207,'2022/07,,KG,,20100956,27120271,,140944863,184197988
8708.29-000,その他の車体部分品・附属品,輸出,202208,'2022/08,,KG,,18462002,26273955,,159406865,210471943
8708.29-000,その他の車体部分品・附属品,輸出,202209,'2022/09,,KG,,20253651,28649196,,179660516,239121139
8708.29-000,その他の車体部分品・附属品,輸出,202210,'2022/10,,KG,,23188327,33577869,,202848843,272699008
8708.29-000,その他の車体部分品・附属品,輸出,202211,'2022/11,,KG,,20367519,29837695,,223216362,302536703
8708.29-000,その他の車体部分品・附属品,輸出,202212,'2022/12,,KG,,23275833,31903323,,246492195,334440026
8708.29-000,その他の車体部分品・附属品,輸出,202301,'2023/01,,KG,,17183520,22995031,,17183520,22995031
8708.29-000,その他の車体部分品・附属品,輸出,202302,'2023/02,,KG,,18373492,25757535,,35557012,48752566
8708.29-000,その他の車体部分品・附属品,輸出,202303,'2023/03,,KG,,19243670,28910880,,54800682,77663446
8708.29-000,その他の車体部分品・附属品,輸出,202304,'2023/04,,KG,,20079001,29559496,,74879683,107222942
8708.29-000,その他の車体部分品・附属品,輸出,202305,'2023/05,,KG,,15812395,23407144,,90692078,130630086
8708.29-000,その他の車体部分品・附属品,輸出,202306,'2023/06,,KG,,19099326,28094369,,109791404,158724455
8708.29-000,その他の車体部分品・附属品,輸出,202307,'2023/07,,KG,,21156280,31708410,,130947684,190432865
8708.29-000,その他の車体部分品・附属品,輸出,202308,'2023/08,,KG,,17576958,27507303,,148524642,217940168
8708.29-000,その他の車体部分品・附属品,輸出,202309,'2023/09,,KG,,22270694,33729507,,170795336,251669675
8708.29-000,その他の車体部分品・附属品,輸出,202310,'2023/10,,KG,,22620505,35625284,,193415841,287294959
8708.29-000,その他の車体部分品・附属品,輸出,202311,'2023/11,,KG,,19472171,29932408,,212888012,317227367
8708.29-000,その他の車体部分品・附属品,輸出,202312,'2023/12,,KG,,22386441,34786589,,235274453,352013956
8708.29-000,その他の車体部分品・附属品,輸出,202401,'2024/01,,KG,,15645983,24342670,,15645983,24342670
8708.29-000,その他の車体部分品・附属品,輸出,202402,'2024/02,,KG,,17986725,28713845,,33632708,53056515
8708.29-000,その他の車体部分品・附属品,輸出,202403,'2024/03,,KG,,20406773,32222557,,54039481,85279072
8708.29-000,その他の車体部分品・附属品,輸出,202404,'2024/04,,KG,,20739229,31848317,,74778710,117127389
8708.29-000,その他の車体部分品・附属品,輸出,202405,'2024/05,,KG,,18347614,27458290,,93126324,144585679
8708.29-000,その他の車体部分品・附属品,輸出,202406,'2024/06,,KG,,20664614,32210947,,113790938,176796626
8708.29-000,その他の車体部分品・附属品,輸出,202407,'2024/07,,KG,,23476769,35524691,,137267707,212321317
8708.29-000,その他の車体部分品・附属品,輸出,202408,'2024/08,,KG,,20116671,29643753,,157384378,241965070
8708.29-000,その他の車体部分品・附属品,輸出,202409,'2024/09,,KG,,20821290,30544567,,178205668,272509637
8708.29-000,その他の車体部分品・附属品,輸出,202410,'2024/10,,KG,,22799831,33698806,,201005499,306208443
8708.29-000,その他の車体部分品・附属品,輸出,202411,'2024/11,,KG,,21065788,31191355,,222071287,337399798
8708.29-000,その他の車体部分品・附属品,輸出,202412,'2024/12,,KG,,23919846,36627113,,245991133,374026911
8708.29-000,その他の車体部分品・附属品,輸出,202501,'2025/01,,KG,,16177937,24835544,,16177937,24835544
8708.29-000,その他の車体部分品・附属品,輸出,202502,'2025/02,,KG,,20165939,31074666,,36343876,55910210
8708.29-000,その他の車体部分品・附属品,輸出,202503,'2025/03,,KG,,21245673,31377282,,57589549,87287492
8708.29-000,その他の車体部分品・附属品,輸出,202504,'2025/04,,KG,,20978327,30290928,,78567876,117578420
8708.29-000,その他の車体部分品・附属品,輸出,202505,'2025/05,,KG,,16880678,24128063,,95448554,141706483
8708.29-000,その他の車体部分品・附属品,輸出,202506,'2025/06,,KG,,19782116,28011242,,115230670,169717725
8708.29-000,その他の車体部分品・附属品,輸出,202507,'2025/07,,KG,,21223841,29894991,,136454511,199612716
8708.29-000,その他の車体部分品・附属品,輸出,202508,'2025/08,,KG,,16496202,23885581,,152950713,223498297
8708.29-000,その他の車体部分品・附属品,輸出,202509,'2025/09,,KG,,19179983,28957623,,172130696,252455920
8708.29-000,その他の車体部分品・附属品,輸出,202510,'2025/10,,KG,,19382367,28595473,,191513063,281051393
8708.29-000,その他の車体部分品・附属品,輸出,202511,'2025/11,,KG,,16977268,26182985,,208490331,307234378
8708.29-000,その他の車体部分品・附属品,輸出,202512,'2025/12,,KG,,21007789,31552187,,229498120,338786565
8708.29-000,その他の車体部分品・附属品,輸出,202601,'2026/01,,KG,,14924390,22938437,,14924390,22938437
8708.29-000,その他の車体部分品・附属品,輸出,202602,'2026/02,,KG,,17083599,26831675,,32007989,49770112
8708.29-000,その他の車体部分品・附属品,輸出,202603,'2026/03,,KG,,20743960,31595924,,52751949,81366036
8708.29-000,その他の車体部分品・附属品,輸出,202604,'2026/04,,KG,,20152000,31442099,,72903949,112808135
8708.29-000,その他の車体部分品・附属品,輸出,202605,'2026/05,,KG,,16395059,24228801,,89299008,137036936
8708.29-000,その他の車体部分品・附属品,輸出,202606,'2026/06,,KG,,19534493,29829175,,108833501,166866111
8708.29-000,その他の車体部分品・附属品,輸出,202607,'2026/07,,KG,,20144253,32274030,,128977754,199140141
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202201,'2022/01,,KG,,7412630,14171199,,7412630,14171199
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202202,'2022/02,,KG,,8986675,16244938,,16399305,30416137
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202203,'2022/03,,KG,,9467204,18316716,,25866509,48732853
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202204,'2022/04,,KG,,9168672,16679018,,35035181,65411871
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202205,'2022/05,,KG,,7277054,13965700,,42312235,79377571
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202206,'2022/06,,KG,,9209653,18118275,,51521888,97495846
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202207,'2022/07,,KG,,9342642,17553336,,60864530,115049182
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202208,'2022/08,,KG,,8019527,15525763,,68884057,130574945
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202209,'2022/09,,KG,,8718669,17165141,,77602726,147740086
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202210,'2022/10,,KG,,9566782,19402110,,87169508,167142196
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202211,'2022/11,,KG,,8458614,17266939,,95628122,184409135
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202212,'2022/12,,KG,,9733750,20801419,,105361872,205210554
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202301,'2023/01,,KG,,6918995,13488172,,6918995,13488172
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202302,'2023/02,,KG,,7584595,15127501,,14503590,28615673
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202303,'2023/03,,KG,,8325914,16143358,,22829504,44759031
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202304,'2023/04,,KG,,8776613,17014878,,31606117,61773909
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202305,'2023/05,,KG,,7555572,15134206,,39161689,76908115
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202306,'2023/06,,KG,,8903173,18551833,,48064862,95459948
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202307,'2023/07,,KG,,9492075,19887093,,57556937,115347041
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202308,'2023/08,,KG,,8247973,17803704,,65804910,133150745
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202309,'2023/09,,KG,,10028278,21856706,,75833188,155007451
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202310,'2023/10,,KG,,10651532,23892524,,86484720,178899975
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202311,'2023/11,,KG,,9145779,20099191,,95630499,198999166
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202312,'2023/12,,KG,,10125584,21767247,,105756083,220766413
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202401,'2024/01,,KG,,7140661,15964638,,7140661,15964638
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202402,'2024/02,,KG,,8530279,19396084,,15670940,35360722
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202403,'2024/03,,KG,,9323364,21349274,,24994304,56709996
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202404,'2024/04,,KG,,9066764,20540400,,34061068,77250396
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202405,'2024/05,,KG,,7578991,17296066,,41640059,94546462
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202406,'2024/06,,KG,,9152621,20564138,,50792680,115110600
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202407,'2024/07,,KG,,10020466,23734442,,60813146,138845042
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202408,'2024/08,,KG,,8157066,18675538,,68970212,157520580
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202409,'2024/09,,KG,,9083043,21004744,,78053255,178525324
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202410,'2024/10,,KG,,9317621,21978347,,87370876,200503671
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202411,'2024/11,,KG,,7982881,19073191,,95353757,219576862
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202412,'2024/12,,KG,,9516373,22571985,,104870130,242148847
8708.30-000,ブレーキ、サーボブレーキ及び部分品,輸出,202501,'2025/01,,KG,,6569946,16002884,,6569946,16002884
